timestamp,face_id,liveness_result,ocr_id,final_result
2026-06-05 12:21:11,EMP-001,PASS,NONE,DENIED_OCR_FAIL
2026-06-05 12:21:29,EMP-001,PASS,NONE,DENIED_OCR_FAIL
2026-06-05 12:21:52,EMP-001,PASS,NONE,DENIED_OCR_FAIL
2026-06-05 12:24:50,EMP-001,PASS,NONE,DENIED_OCR_FAIL
2026-06-05 12:25:13,EMP-001,PASS,NONE,DENIED_OCR_FAIL
2026-06-05 12:25:33,EMP-001,PASS,NONE,DENIED_OCR_FAIL
2026-06-05 12:27:48,W1114181043,PASS,11114181,DENIED_ID_MISMATCH
2026-06-05 12:28:09,EMP-001,PASS,NONE,DENIED_OCR_FAIL
2026-06-05 12:35:11,EMP-001,PASS,NONE,DENIED_OCR_FAIL
2026-06-05 12:41:20,W1114181043,PASS,1570772001,DENIED_ID_MISMATCH
2026-06-05 12:42:12,EMP-002,PASS,NONE,DENIED_OCR_FAIL
2026-06-05 12:56:31,W1114181043,PASS,2001,DENIED_ID_MISMATCH
2026-06-05 12:56:48,W1114181043,PASS,2001,DENIED_ID_MISMATCH
2026-06-05 12:57:11,W1114181043,PASS,2001,DENIED_ID_MISMATCH
2026-06-05 12:58:57,W1114181043,PASS,2022,DENIED_ID_MISMATCH
2026-06-05 13:02:05,W1114181043,PASS,2001,DENIED_ID_MISMATCH
2026-06-05 13:02:21,W1114181043,PASS,2001,DENIED_ID_MISMATCH
2026-06-05 13:04:56,W1114181043,PASS,81043,DENIED_ID_MISMATCH
2026-06-05 13:05:11,EMP-001,LIVENESS_TIMEOUT,-,DENIED
2026-06-05 13:05:33,W1114181043,PASS,2022,DENIED_ID_MISMATCH
2026-06-05 13:10:38,W1114181043,PASS,71114181043,GRANTED
2026-06-05 13:10:51,W1114181043,PASS,4181043,GRANTED
2026-06-05 13:28:57,W1114181043,PASS,181043,GRANTED
2026-06-05 13:29:13,W1114181043,PASS,181043,GRANTED
2026-06-05 15:25:07,W1114181043,PASS,181043,GRANTED
2026-06-05 15:25:24,your id,PASS,13875,DENIED_ID_MISMATCH
2026-06-05 15:25:40,W1114181043,PASS,13875,DENIED_ID_MISMATCH
2026-06-05 15:25:54,EMP-001,LIVENESS_TIMEOUT,-,DENIED
2026-06-05 15:27:00,W1114181043,PASS,13875,DENIED_ID_MISMATCH
2026-06-05 15:27:34,EMP-001,PASS,NONE,DENIED_OCR_FAIL
2026-06-05 15:37:59,W1114181043,PASS,13879,DENIED_ID_MISMATCH
2026-06-05 15:38:15,W1114181043,PASS,4181043,GRANTED
2026-06-05 15:38:34,your id,PASS,13875,DENIED_ID_MISMATCH
2026-06-05 15:41:18,EMP-001,LIVENESS_TIMEOUT,-,DENIED
2026-06-05 15:41:46,EMP-003,PASS,NONE,DENIED_OCR_FAIL
2026-06-05 15:42:15,W1114181014,PASS,81014,DENIED_ID_MISMATCH
2026-06-05 15:42:23,UNKNOWN,-,-,DENIED_NO_MATCH
2026-06-05 15:42:49,EMP-003,PASS,NONE,DENIED_OCR_FAIL
2026-06-05 15:43:03,EMP-003,LIVENESS_TIMEOUT,-,DENIED
2026-06-05 15:43:31,EMP-001,LIVENESS_TIMEOUT,-,DENIED
2026-06-05 15:56:13,W1114181043,PASS,181043,GRANTED
2026-06-05 15:57:08,W1114181001,PASS,81001,DENIED_ID_MISMATCH
2026-06-05 15:57:28,W1114181001,PASS,00217,DENIED_ID_MISMATCH
2026-06-05 15:57:42,EMP-002,LIVENESS_TIMEOUT,-,DENIED
2026-06-05 15:58:01,EMP-002,LIVENESS_TIMEOUT,-,DENIED
2026-06-05 16:00:51,W1114181001,PASS,14181001,GRANTED
2026-06-05 16:01:12,UNKNOWN,-,-,DENIED_NO_MATCH
2026-06-05 16:01:35,EMP-003,PASS,NONE,DENIED_OCR_FAIL
2026-06-05 16:02:02,EMP-003,PASS,NONE,DENIED_OCR_FAIL
2026-06-05 16:02:06,UNKNOWN,-,-,DENIED_NO_MATCH
2026-06-05 16:02:10,UNKNOWN,-,-,DENIED_NO_MATCH
2026-06-05 16:02:29,W1114181014,PASS,81014,DENIED_ID_MISMATCH
2026-06-05 16:02:44,W1114181014,PASS,0972022,DENIED_ID_MISMATCH
2026-06-05 16:03:02,W1114181014,PASS,72000,DENIED_ID_MISMATCH
2026-06-05 16:03:16,EMP-003,LIVENESS_TIMEOUT,-,DENIED
2026-06-05 16:03:30,EMP-003,LIVENESS_TIMEOUT,-,DENIED
2026-06-05 16:03:44,EMP-003,LIVENESS_TIMEOUT,-,DENIED
2026-06-05 16:03:56,W1114181014,PASS,42022,DENIED_ID_MISMATCH
2026-06-05 16:04:16,EMP-003,PASS,NONE,DENIED_OCR_FAIL
2026-06-05 16:04:31,W1114181001,PASS,0972022,DENIED_ID_MISMATCH
2026-06-05 16:04:50,W1114181001,PASS,181001,GRANTED
2026-06-05 16:05:08,W1114181014,PASS,81014,DENIED_ID_MISMATCH
2026-06-05 16:05:12,UNKNOWN,-,-,DENIED_NO_MATCH
2026-06-05 16:05:24,W1114181014,PASS,W1114181014,GRANTED
2026-06-05 16:05:35,W1114181014,PASS,1114181014,GRANTED
2026-06-05 16:05:45,W1114181014,PASS,181014,GRANTED
2026-06-05 16:05:56,W1114181014,PASS,2470975000,DENIED_ID_MISMATCH
2026-06-05 16:06:00,UNKNOWN,-,-,DENIED_NO_MATCH
2026-06-05 16:06:14,W1114181014,PASS,W1114181014,GRANTED
2026-06-05 16:06:27,W1114181014,PASS,W1114181014,GRANTED
2026-06-05 16:06:31,UNKNOWN,-,-,DENIED_NO_MATCH
2026-06-05 16:06:42,W1114181014,PASS,W1114181014,GRANTED
2026-06-05 16:06:56,W1114181014,PASS,W1114181014,GRANTED
2026-06-05 16:07:14,W1114181014,PASS,W1114181014,GRANTED
